Step,Time,Vehicles,J1_Phase,J2_Phase,J1_Queue,J2_Queue,Total_Queue,Network_Delay
3300,3300,15,0,-1,2,0,2,1.5714285714285714
3310,3310,12,0,-1,0,0,0,3.2
3320,3320,10,0,-1,0,0,0,6.75
3330,3330,10,0,-1,0,0,0,10.6
3340,3340,8,1,-1,1,0,1,1.5
3350,3350,8,2,-1,0,0,0,1.0
3360,3360,6,2,-1,2,0,2,8.25
3370,3370,6,2,-1,2,0,2,14.8
3380,3380,27,3,-1,2,0,2,16.166666666666668
3390,3390,25,0,-1,1,0,1,2.4
3400,3400,24,0,-1,1,0,1,6.4
3410,3410,23,0,-1,2,0,2,11.4
3420,3420,22,0,-1,2,0,2,17.4
3430,3430,22,1,-1,2,0,2,12.5
3440,3440,22,2,-1,0,0,0,0.14285714285714285
3450,3450,21,2,-1,2,0,2,4.0
3460,3460,20,2,-1,2,0,2,9.714285714285714
3470,3470,19,2,-1,2,0,2,15.428571428571429
3480,3480,18,0,-1,3,0,3,2.0
3490,3490,18,0,-1,3,0,3,5.125
3500,3500,15,0,-1,2,0,2,11.833333333333334
3510,3510,14,0,-1,2,0,2,17.166666666666668
3520,3520,13,0,-1,2,0,2,21.833333333333332
3530,3530,12,2,-1,1,0,1,17.333333333333332
3540,3540,10,2,-1,1,0,1,1.6
3550,3550,9,2,-1,2,0,2,8.8
3560,3560,9,2,-1,2,0,2,15.166666666666666
3570,3570,9,3,-1,2,0,2,17.142857142857142
3580,3580,6,0,-1,1,0,1,11.4
3590,3590,26,0,-1,1,0,1,22.75
3600,3600,26,0,-1,1,0,1,26.2
3610,3610,26,0,-1,2,0,2,8.333333333333334
3620,3620,26,1,-1,2,0,2,10.0
3630,3630,26,2,-1,3,0,3,0.8888888888888888
3640,3640,25,2,-1,4,0,4,8.222222222222221
3650,3650,24,2,-1,4,0,4,16.0
3660,3660,23,3,-1,4,0,4,24.375
3670,3670,23,0,-1,4,0,4,6.333333333333333
3680,3680,23,0,-1,4,0,4,11.7
3690,3690,21,0,-1,2,0,2,7.6
3700,3700,18,0,-1,2,0,2,9.5
3710,3710,18,0,-1,3,0,3,11.666666666666666
3720,3720,16,2,-1,1,0,1,0.875
3730,3730,15,2,-1,1,0,1,6.75
3740,3740,14,2,-1,2,0,2,15.125
3750,3750,14,2,-1,2,0,2,21.22222222222222
3760,3760,14,0,-1,1,0,1,12.8
3770,3770,12,0,-1,1,0,1,1.875
3780,3780,8,0,-1,1,0,1,5.666666666666667
3790,3790,7,0,-1,1,0,1,5.833333333333333
3800,3800,28,0,-1,2,0,2,7.0
3810,3810,28,1,-1,2,0,2,8.625
3820,3820,25,2,-1,1,0,1,2.8333333333333335
3830,3830,25,2,-1,1,0,1,8.142857142857142
